,true,pred,count_errors,mean_margin,aupnn_logit,aupnn_prob,mc_prob,mc_logit,mc_prob_top1,mc_logit_top1,aupnn_prob_top1,aupnn_logit_top1,mc_prob_top1_true,mc_logit_top1_true,aupnn_prob_top1_true,aupnn_logit_top1_true
3,0,7,2,1.0233741998672485,0.01686814613640305,0.0022414401173591,0.00140563870081675,0.01344566280022255,0.00100394606124605,0.0044890218414366,0.0016348386998288,0.0056039320770650495,0.0007973098399815501,0.00442674010992045,0.0012470001238398,0.005896252579987
1,0,4,2,1.5878934860229492,0.016004650853574248,0.00172901025507595,0.00167469418374815,0.0148449097760021,0.0012896292028017,0.00609761942178005,0.0013252468779682502,0.00579716078937045,0.0009019398567032999,0.0052429761271923,0.0009022316517074999,0.0055276229977607
66,9,1,2,1.3302483558654785,0.01927269157022235,0.0018796524382195998,0.0016836014692670999,0.0167229971848428,0.00118279433809215,0.0054312373977154,0.00139840412884945,0.00625436799600715,0.00038552055775644995,0.0052451125811785,0.00057622932945375,0.00568313756957645
42,5,7,2,3.2719719409942627,0.01718959119170895,0.00073401052941335,0.00056890382984415,0.01491088187322015,0.0004637055462808,0.004769226768985351,0.0005877237417734499,0.0053055617026984,0.0002759764502115993,0.0043561444617807,0.00038385825610016353,0.005134407896548451
13,2,0,2,2.381718158721924,0.01697092782706015,0.0010220555996056499,0.00079829417518335,0.01522183278575535,0.0005869609594809999,0.00490078120492395,0.0007716598629485,0.0057617053389548995,0.00046509718231385003,0.005026723491027899,0.0005757731269113,0.005514096003025749
23,3,4,2,0.6364641189575195,0.019344911910593447,0.0025718602119013,0.002085997024551,0.0164648815989494,0.0015598185709677,0.00619892147369675,0.0018135141581296,0.006572636775672351,0.000613566066022,0.0047730850055813,0.00067600293550635,0.0061952974647283
15,2,3,2,2.355813980102539,0.0177280325442552,0.0013178002554923,0.0012386063608573002,0.01623185491189355,0.0009696049819467,0.0071210390888153995,0.001005058089504,0.00636409525759515,0.00068497157917585,0.00603703060187395,0.00075992578786095,0.00583109958097335
5,0,9,1,1.6428499221801758,0.016394605860114,0.0015856039244681,0.0007696788525208,0.0135834710672497,0.00053581566317,0.0036641147453337,0.001216021599248,0.0051717292517423,0.0001959787477971,0.004011997487396,0.0004102376697119,0.0052835037931799
9,1,6,1,2.493234634399414,0.0172505658119916,0.0011357018956914,0.0008574629900977,0.0134755298495292,0.0006743417470715,0.0051345499232411,0.0009126999066211,0.0057821306400001,0.0003900643787346,0.0052055823616683,0.0004339337756391,0.0054314592853188
8,1,5,1,2.4045729637146,0.0153797576203942,0.0009490537340752,0.0005990022909827,0.0135040851309895,0.0004344287735875,0.0035272683016955,0.000708648294676,0.0047638681717216,1.5843917253732798e-06,0.0044456776231527,1.5687886616433389e-06,0.0045419465750455
7,1,4,1,2.110053062438965,0.0198488011956214,0.0016508855624124,0.0013926834799349,0.016883110627532,0.0010089875431731,0.0073229316622018,0.0012476340634748,0.0067483908496797,6.104921794758411e-06,0.0045672096312046,7.450631983374478e-06,0.0056795845739543
12,1,9,1,0.5479283332824707,0.0151427239179611,0.0019848702941089,0.001546062529087,0.0138248614966869,0.0012518895091488,0.0047672661021351,0.001454601297155,0.0049439561553299,0.0007849819376133,0.0037572728469967,0.0012696979101747,0.0044685956090688
37,5,1,1,2.5318198204040527,0.0168938878923654,0.0012201116187497,0.0008061359985731,0.0126990834251046,0.0006337079685181,0.0038528554141521,0.0009963718475773,0.0063218623399734,0.0003070125239901,0.0041982103139162,0.0004552112077362,0.0054493946954607
30,4,1,1,1.2152643203735352,0.017743295058608,0.0020406492985785,0.001417999039404,0.0147011745721101,0.0011086319573223,0.0043342234566807,0.0015389278996735,0.005616697948426,0.0001122948451666,0.0051053632050752,0.0001209642068715,0.0058259381912648
19,2,9,1,0.189507246017456,0.0155764380469918,0.0021706456318497,0.002132001100108,0.0124099850654602,0.0014469481538981,0.0036771392915397,0.0015450213104486,0.0053357216529548,0.0015167858218774,0.0046410718932747,0.0014324929798021,0.0049172034487128
25,3,6,1,0.0219283103942871,0.0154290804639458,0.0017579038394615,0.0016241424018517,0.0152687970548868,0.0009120714967139,0.0048762317746877,0.0009479658328928,0.004510702099651,0.0001228315668413,0.0046278424561023,9.952969412552191e-05,0.0045258766040205
50,6,7,1,0.7820656299591064,0.0123400129377841,0.0015829317271709,0.0016886498779058,0.0119046065956354,0.0012340949615463,0.0041673798114061,0.0011806132970377,0.0042440760880708,0.0009759532986208,0.0040594665333628,0.0007893907022662,0.0034621669910848
48,6,4,1,0.4250574111938476,0.0226548351347446,0.0036815113853663,0.0031312489882111,0.0199375692754983,0.0022871366236358,0.0086302803829312,0.00264164339751,0.0085080219432711,0.0021243649534881,0.00589742930606,0.0025500901974737,0.0075150136835873
44,5,9,1,0.5174665451049805,0.0190252121537923,0.0028356427792459,0.00262879463844,0.0171016696840524,0.0018598811002448,0.0067662950605154,0.0020257469732314,0.0064443172886967,0.0018401913112029,0.005733520258218,0.0019704320002347,0.006040914915502
71,9,6,1,4.053866863250732,0.01860929466784,0.0002481854753568,0.0002209311933256,0.0176117867231369,0.0001743046450428,0.006505386903882,0.0001942360395332,0.0068333530798554,2.3341101496043848e-06,0.0039991959929466,2.620922032292583e-06,0.0057391081936657
